Fecha;Non-performing_loans_Gross_loans;Loan_loss_reserves_Non-performing_loans
2013-04-30 00:00:00;2.52385048;185.1405833
2014-04-30 00:00:00;2.837570053;165.4244014
2015-04-30 00:00:00;3.016897515;156.0804303
2016-04-30 00:00:00;3.100417212;154.3181666
2017-04-30 00:00:00;3.380859787;150.9036371
2017-04-30 00:00:00;3.379402725;150.937308
2018-04-30 00:00:00;3.612289956;146.5227842
2019-04-30 00:00:00;3.652405756;144.051493
2020-04-30 00:00:00;3.932029489;145.2633541
2021-04-30 00:00:00;4.209185692;177.2500658
2021-04-30 00:00:00;4.18429933;177.4173857
2022-04-30 00:00:00;4.09889215;155.6013418
2023-04-30 00:00:00;4.386077403;147.8216951
2024-04-30 00:00:00;4.861479546;139.3539008
2025-04-30 00:00:00;3.971510215;155.98962
2013-08-31 00:00:00;2.586187726;178.6903512
2014-08-31 00:00:00;2.963175971;160.5282332
2015-08-31 00:00:00;3.042449099;155.0824393
2016-08-31 00:00:00;3.225390636;151.8982413
2017-08-31 00:00:00;3.488555452;150.92011
2017-08-31 00:00:00;3.487502523;150.9771879
2018-08-31 00:00:00;3.777240056;142.8479969
2019-08-31 00:00:00;3.728159936;143.2000626
2020-08-31 00:00:00;3.626252925;184.4891612
2021-08-31 00:00:00;4.177738341;168.9649166
2021-08-31 00:00:00;4.160303818;169.107036
2022-08-31 00:00:00;4.271134639;147.4484378
2023-08-31 00:00:00;4.583759503;143.328355
2024-08-31 00:00:00;4.588734125;142.9813856
2025-08-31 00:00:00;3.795095739;160.4795544
2013-12-31 00:00:00;2.547373032;176.7515997
2014-12-31 00:00:00;2.876232125;159.3511351
2015-12-31 00:00:00;2.846510606;163.329347
2016-12-31 00:00:00;3.091552727;158.6486679
2017-12-31 00:00:00;3.437726204;149.4606472
2017-12-31 00:00:00;3.436608294;149.5250687
2018-12-31 00:00:00;3.492858055;148.0812409
2019-12-31 00:00:00;3.591085974;146.4648703
2020-12-31 00:00:00;4.344531258;175.0036208
2021-12-31 00:00:00;4.106741771;157.7105459
2021-12-31 00:00:00;4.086481204;157.8722449
2022-12-31 00:00:00;4.274050031;148.3022023
2023-12-31 00:00:00;4.600325547;144.3938458
2024-12-31 00:00:00;4.070277403;153.1534725
2025-12-31 00:00:00;3.532778618;168.1705526
2013-01-31 00:00:00;2.323610624;196.6692345
2014-01-31 00:00:00;2.71361213;169.658438
2015-01-31 00:00:00;3.011636093;155.8265626
2016-01-31 00:00:00;2.976228018;159.0918226
2017-01-31 00:00:00;3.272200609;152.190242
2017-01-31 00:00:00;3.270141964;152.214813
2018-01-31 00:00:00;3.541593415;148.7048336
2019-01-31 00:00:00;3.601956473;146.4156474
2020-01-31 00:00:00;3.697557588;144.4371476
2021-01-31 00:00:00;4.441575541;172.3741608
2021-01-31 00:00:00;4.40948609;172.5569548
2022-01-31 00:00:00;4.213397671;154.0359481
