Fecha,Banco,Ratio_Cap,Directos,Atrasados,RCG,Atra_Dir,Prov_Atra
42490.0,BBVA,13.77,49594285.382,1171801.1148,13.89,2.36,187.89
42490.0,BCP,15.12,77384184.367,2106174.52537,15.0,2.72,145.56
42490.0,BIF,12.66,8367183.816,173216.69782,12.51,2.07,175.43
42490.0,SCOTIA,13.9,36801167.318,1189272.69936,14.17,3.23,124.76
42613.0,BBVA,14.63,50379443.046,1249320.62488,14.38,2.48,187.91
42613.0,BCP,15.65,77383316.478,2170404.6244,15.67,2.8,146.24
42613.0,BIF,13.16,8572816.838,212974.53737,12.85,2.48,160.36
42613.0,SCOTIA,14.73,38323021.086,1324319.94701,14.36,3.46,121.16
42369.0,BBVA,13.31,49723814.016,1077108.7161400001,13.54,2.17,203.57
42369.0,BCP,14.34,76102666.738,1851596.2387299999,14.02,2.43,157.12
42369.0,BIF,12.33,8142128.046,143747.74426,12.23,1.77,206.91
42369.0,SCOTIA,13.97,36967665.451,1069159.97316,13.5,2.89,132.29
42735.0,BBVA,14.25,51907932.193,1252171.43914,14.64,2.41,187.46
42735.0,BCP,15.35,78557734.571,2126417.90199,15.54,2.71,154.63
42735.0,BIF,13.32,8504008.842,212810.74655,13.26,2.5,172.38
42735.0,SCOTIA,14.41,38626447.326,1190513.4526,14.4,3.08,132.56
42400.0,BBVA,13.39,49092161.815,1141959.2507,13.31,2.33,197.06
42400.0,BCP,14.12,77518258.362,1964872.09962,14.34,2.53,154.08
42400.0,BIF,12.4,8246888.991,161808.62628,12.33,1.96,187.76
42400.0,SCOTIA,13.63,37662315.503,1112733.41227,13.97,2.95,130.48
42429.0,BBVA,13.17,50276265.195,1215410.0201,13.39,2.42,191.56
42429.0,BCP,14.3,77596856.024,1949616.89403,14.12,2.51,153.9
42429.0,BIF,12.17,8345617.125,181007.30098,12.4,2.17,173.72
42429.0,SCOTIA,13.47,37581553.15,1173159.86706,13.63,3.12,126.69
42794.0,BBVA,14.95,49392661.293,1396735.72082,14.7,2.83,171.01
42794.0,BCP,15.46,78311967.35,2182382.29745,15.59,2.79,145.26
42794.0,BIF,13.63,8549884.42,224693.09492,13.45,2.63,162.4
42794.0,SCOTIA,14.16,38661444.172,1233085.94047,14.2,3.19,131.14
42582.0,BBVA,14.38,50481257.901,1224405.94968,13.82,2.43,187.92
42582.0,BCP,15.67,77285068.832,2129393.23321,15.76,2.76,146.97
42582.0,BIF,12.85,8540804.99,198891.92053,12.88,2.33,165.44
42582.0,SCOTIA,14.36,37905681.448,1283780.69001,14.04,3.39,123.87
42551.0,BBVA,13.82,49573476.3,1233148.0692399999,13.73,2.49,187.19
42551.0,BCP,15.76,76864725.536,2107746.34824,15.73,2.74,145.53
42551.0,BIF,12.88,8446647.89,195712.85257000002,12.59,2.32,163.92
42551.0,SCOTIA,14.04,36751305.528,1269944.51065,14.02,3.46,121.82
42460.0,BBVA,13.89,49643497.609,1157350.09261,13.17,2.33,190.92
42460.0,BCP,15.0,77679539.844,2001227.48428,14.3,2.58,151.37
42460.0,BIF,12.51,8338476.253,172944.42157,12.17,2.07,178.15
42460.0,SCOTIA,14.17,36257691.56,1161546.60993,13.47,3.2,126.21
42521.0,BBVA,13.73,49890873.18,1218888.98749,13.77,2.44,186.69
42521.0,BCP,15.73,77474590.881,2182086.3312500003,15.12,2.82,143.47
42521.0,BIF,12.59,8527902.487,190355.37936000002,12.66,2.23,164.47
42521.0,SCOTIA,14.02,36714054.23,1225890.89873,13.9,3.34,124.47
42674.0,BBVA,14.54,50279286.83,1285927.4227,14.66,2.56,182.71
42674.0,BCP,15.7,77272533.583,2185743.27403,15.56,2.83,146.11
42674.0,BIF,13.22,8570532.693,226226.47203,13.09,2.64,156.97
42674.0,SCOTIA,14.49,38682522.91,1340795.87848,14.41,3.47,122.67
42643.0,BBVA,14.66,50183444.776,1231729.08223,14.63,2.45,192.32
42643.0,BCP,15.56,78184907.153,2139586.8362600002,15.65,2.74,148.45
42643.0,BIF,13.09,8614762.183,218376.29141,13.16,2.53,159.57
42643.0,SCOTIA,14.41,38827717.244,1290201.62039,14.73,3.32,125.87
